Date,Sales
2022-01-01,58389.18
2022-02-01,60297.91
2022-03-01,62074.56
2022-04-01,62867.55
2022-05-01,57270.64
2022-06-01,68860.57
2022-07-01,66510.1
2022-08-01,62354.08
2022-09-01,55278.06
2022-10-01,57886.03
2022-11-01,59458.49
2022-12-01,76417.52
2023-01-01,79173.97
2023-02-01,76217.86
2023-03-01,76082.22
2023-04-01,77794.53
2023-05-01,76378.87
2023-06-01,94715.4
2023-07-01,80150.94
2023-08-01,76978.91
2023-09-01,83070.45
2023-10-01,77027.35
2023-11-01,82757.52
2023-12-01,96148.67
2024-01-01,98257.67
2024-02-01,104295.31
2024-03-01,99518.78
2024-04-01,102396.09
2024-05-01,99297.89
2024-06-01,96376.39
2024-07-01,102731.16
2024-08-01,109025.58
2024-09-01,99937.18
2024-10-01,95965.16
2024-11-01,106773.57
2024-12-01,109201.16
